Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/01/2025,02/03/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1946.03,
02/02/2025,02/02/2025,Home Depot,Home Improvement,Sale,224.49,
02/02/2025,02/04/2025,Planet Fitness,Fitness,Sale,183.88,
02/02/2025,02/03/2025,Ace Hardware,Home Improvement,Sale,13.14,
02/04/2025,02/04/2025,Lowe's,Home Improvement,Sale,165.1,
02/04/2025,02/06/2025,24 Hour Fitness,Fitness,Sale,156.1,
02/04/2025,02/05/2025,BP Gas,Gas,Sale,271.62,
02/04/2025,02/06/2025,Panera Bread,Restaurants,Sale,118.93,
02/06/2025,02/08/2025,IKEA,Home Improvement,Sale,192.46,
02/06/2025,02/07/2025,Walmart,Shopping,Sale,290.24,
02/06/2025,02/06/2025,Microsoft Store,Electronics,Sale,273.3,
02/06/2025,02/06/2025,Uber,Transportation,Sale,284.27,
02/07/2025,02/08/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1291.98,
02/08/2025,02/08/2025,FedEx Office,Office Supplies,Sale,181.98,
02/08/2025,02/08/2025,RETURN - Hulu,Entertainment,Return,-21.16,
02/09/2025,02/10/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1347.7,
02/09/2025,02/10/2025,BP Gas,Gas,Sale,70.17,
02/10/2025,02/12/2025,Ace Hardware,Home Improvement,Sale,258.58,
02/11/2025,02/11/2025,VCA Animal Hospital,Pet Care,Sale,228.22,
02/11/2025,02/13/2025,IKEA,Home Improvement,Sale,39.29,
02/13/2025,02/15/2025,Hilton Hotels,Travel,Sale,207.65,
02/13/2025,02/15/2025,Southwest Airlines,Travel,Sale,198.95,
02/14/2025,02/16/2025,Parking Meter,Transportation,Sale,269.12,
02/14/2025,02/15/2025,Chevron,Gas,Sale,9.68,
02/15/2025,02/16/2025,Regal Cinemas,Entertainment,Sale,23.01,
02/15/2025,02/16/2025,Petco,Pet Care,Sale,156.86,
02/16/2025,02/18/2025,Uber Eats,Food Delivery,Sale,257.77,
02/16/2025,02/16/2025,Nordstrom,Shopping,Sale,173.55,
02/16/2025,02/17/2025,Hilton Hotels,Travel,Sale,292.04,
02/17/2025,02/19/2025,BP Gas,Gas,Sale,77.56,
02/17/2025,02/18/2025,RETURN - Planet Fitness,Fitness,Return,-127.57,
02/17/2025,02/18/2025,Office Depot,Office Supplies,Sale,42.43,
02/17/2025,02/19/2025,LA Fitness,Fitness,Sale,223.19,
02/18/2025,02/18/2025,Panera Bread,Restaurants,Sale,77.09,
02/19/2025,02/21/2025,RETURN - Parking Meter,Transportation,Return,-103.16,
02/19/2025,02/20/2025,Planet Fitness,Fitness,Sale,120.94,
02/19/2025,02/21/2025,Parking Meter,Transportation,Sale,232.07,
02/20/2025,02/22/2025,Water Utility,Utilities,Sale,115.02,
02/20/2025,02/21/2025,Best Buy,Electronics,Sale,84.64,
02/20/2025,02/20/2025,Ace Hardware,Home Improvement,Sale,116.54,
02/20/2025,02/20/2025,Rite Aid,Pharmacy,Sale,47.7,
02/20/2025,02/22/2025,DoorDash,Food Delivery,Sale,267.94,
02/22/2025,02/24/2025,RETURN - Ace Hardware,Home Improvement,Return,-156.36,
02/22/2025,02/23/2025,Home Depot,Home Improvement,Sale,85.66,
02/22/2025,02/24/2025,Water Utility,Utilities,Sale,41.02,
02/23/2025,02/25/2025,Office Depot,Office Supplies,Sale,86.88,
02/23/2025,02/23/2025,Starbucks,Restaurants,Sale,216.53,
02/24/2025,02/26/2025,Walmart,Shopping,Sale,129.91,
02/24/2025,02/24/2025,Mobil,Gas,Sale,305,
02/24/2025,02/24/2025,76 Gas Station,Gas,Sale,203.64,
02/24/2025,02/24/2025,RETURN - Planet Fitness,Fitness,Return,-36.01,
02/25/2025,02/27/2025,BILLING CORRECTION,Adjustments,Credit,-120.09,
02/25/2025,02/25/2025,Starbucks,Restaurants,Sale,239.93,
02/25/2025,02/26/2025,Uber,Transportation,Sale,56.72,
02/25/2025,02/26/2025,Uber Eats,Food Delivery,Sale,286.22,
02/26/2025,02/26/2025,Rite Aid,Pharmacy,Sale,192.74,
02/26/2025,02/27/2025,Uber Eats,Food Delivery,Sale,118.03,
02/27/2025,03/01/2025,Rite Aid,Pharmacy,Sale,128.57,
02/27/2025,03/01/2025,Apple Store,Electronics,Sale,78.68,
02/27/2025,02/27/2025,Shell Gas Station,Gas,Sale,185.75,
02/27/2025,02/27/2025,Peloton,Fitness,Sale,70.58,
02/27/2025,03/01/2025,Spotify,Entertainment,Sale,177.26,
02/27/2025,02/28/2025,Electric Company,Utilities,Sale,92.07,
02/27/2025,02/28/2025,Lyft,Transportation,Sale,135.56,
02/28/2025,03/02/2025,GameStop,Electronics,Sale,280.6,
02/28/2025,03/02/2025,Trader Joe's,Groceries,Sale,148.94,
03/01/2025,03/03/2025,Kroger,Groceries,Sale,66.98,
03/01/2025,03/01/2025,VCA Animal Hospital,Pet Care,Sale,44.97,
03/02/2025,03/04/2025,Lyft,Transportation,Sale,48.24,
03/03/2025,03/03/2025,Petco,Pet Care,Sale,186.26,
03/03/2025,03/03/2025,DoorDash,Food Delivery,Sale,265.97,
03/03/2025,03/04/2025,Costco,Groceries,Sale,83.37,
03/04/2025,03/06/2025,Macy's,Shopping,Sale,63.95,
03/04/2025,03/04/2025,RETURN - Target,Shopping,Return,-11.02,
03/04/2025,03/04/2025,Lowe's,Home Improvement,Sale,284.35,
03/04/2025,03/04/2025,LA Fitness,Fitness,Sale,164.99,
03/05/2025,03/05/2025,IKEA,Home Improvement,Sale,150.64,
03/06/2025,03/08/2025,Lyft,Transportation,Sale,247.04,
03/06/2025,03/06/2025,Metro Transit,Transportation,Sale,99.81,
03/06/2025,03/07/2025,24 Hour Fitness,Fitness,Sale,201.17,
03/07/2025,03/07/2025,IKEA,Home Improvement,Sale,253.18,
03/07/2025,03/09/2025,Chevron,Gas,Sale,281.47,
03/07/2025,03/07/2025,Southwest Airlines,Travel,Sale,41.48,
03/08/2025,03/10/2025,Hulu,Entertainment,Sale,57.09,
03/09/2025,03/10/2025,GameStop,Electronics,Sale,172.36,
03/09/2025,03/09/2025,Postmates,Food Delivery,Sale,67.57,
03/09/2025,03/10/2025,Chevron,Gas,Sale,149.9,
03/09/2025,03/09/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-398.91,
03/10/2025,03/12/2025,Target,Groceries,Sale,83.3,
03/10/2025,03/10/2025,Internet Service,Utilities,Sale,212.79,
03/10/2025,03/10/2025,IKEA,Home Improvement,Sale,280.01,
03/11/2025,03/12/2025,FedEx Office,Office Supplies,Sale,175.83,
03/11/2025,03/12/2025,TJ Maxx,Shopping,Sale,89.26,
03/11/2025,03/11/2025,Microsoft Store,Electronics,Sale,175.42,
03/12/2025,03/13/2025,Target,Groceries,Sale,6.54,
03/12/2025,03/14/2025,DoorDash,Food Delivery,Sale,66.39,
03/12/2025,03/13/2025,Best Buy,Electronics,Sale,149.97,
03/13/2025,03/13/2025,Walgreens,Pharmacy,Sale,100.83,
03/13/2025,03/15/2025,Marriott Hotel,Travel,Sale,25.63,
03/14/2025,03/14/2025,Rite Aid,Pharmacy,Sale,282.7,
03/14/2025,03/15/2025,Apple Store,Electronics,Sale,258.95,
03/15/2025,03/17/2025,Regal Cinemas,Entertainment,Sale,167.29,
03/15/2025,03/15/2025,Office Depot,Office Supplies,Sale,140.68,
03/15/2025,03/17/2025,Amazon.com,Shopping,Sale,107.37,
03/16/2025,03/16/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-2075.92,
03/16/2025,03/17/2025,RETURN - Best Buy,Electronics,Return,-60.99,
03/17/2025,03/19/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1267.57,
03/18/2025,03/18/2025,PetSmart,Pet Care,Sale,289.14,
03/19/2025,03/19/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-322.91,
03/19/2025,03/20/2025,Rite Aid,Pharmacy,Sale,232.62,
03/20/2025,03/22/2025,Walgreens,Pharmacy,Sale,108.46,
03/20/2025,03/22/2025,Staples,Office Supplies,Sale,127.36,
03/21/2025,03/23/2025,Best Buy,Electronics,Sale,129.99,
03/22/2025,03/23/2025,Delta Airlines,Travel,Sale,25.64,
03/22/2025,03/22/2025,LA Fitness,Fitness,Sale,9.58,
03/23/2025,03/24/2025,Spotify,Entertainment,Sale,31.02,
03/23/2025,03/24/2025,Southwest Airlines,Travel,Sale,220.35,
03/24/2025,03/25/2025,Apple Store,Electronics,Sale,72.88,
03/24/2025,03/24/2025,RETURN - Uber,Transportation,Return,-110.7,
03/25/2025,03/25/2025,Red Lobster,Restaurants,Sale,39.36,
03/25/2025,03/25/2025,Regal Cinemas,Entertainment,Sale,269.78,
03/25/2025,03/25/2025,LA Fitness,Fitness,Sale,86.31,
03/26/2025,03/27/2025,HBO Max,Entertainment,Sale,237.04,
03/27/2025,03/27/2025,Walgreens,Pharmacy,Sale,282.46,
03/27/2025,03/29/2025,United Airlines,Travel,Sale,282.3,
03/27/2025,03/27/2025,Home Depot,Home Improvement,Sale,143.35,
03/28/2025,03/29/2025,FedEx Office,Office Supplies,Sale,294.61,
03/28/2025,03/28/2025,Peloton,Fitness,Sale,219.05,
03/29/2025,03/30/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1455.1,
03/29/2025,03/30/2025,United Airlines,Travel,Sale,119.25,
03/29/2025,03/30/2025,Parking Meter,Transportation,Sale,61.06,
03/30/2025,03/31/2025,Grubhub,Food Delivery,Sale,280.23,
03/30/2025,04/01/2025,Rite Aid,Pharmacy,Sale,18.41,
04/01/2025,04/02/2025,LA Fitness,Fitness,Sale,141.7,
04/02/2025,04/02/2025,Water Utility,Utilities,Sale,30.44,
04/02/2025,04/04/2025,Microsoft Store,Electronics,Sale,208.67,
04/02/2025,04/03/2025,Whole Foods,Groceries,Sale,288.42,
04/02/2025,04/04/2025,Lowe's,Home Improvement,Sale,234.06,
04/03/2025,04/03/2025,76 Gas Station,Gas,Sale,50.49,
04/03/2025,04/04/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-125.77,
04/03/2025,04/03/2025,Ace Hardware,Home Improvement,Sale,36.51,
04/05/2025,04/07/2025,Phone Bill,Utilities,Sale,105.29,
04/05/2025,04/06/2025,Nordstrom,Shopping,Sale,288.55,
04/05/2025,04/06/2025,Peloton,Fitness,Sale,86.1,
04/06/2025,04/06/2025,Metro Transit,Transportation,Sale,84.24,
04/06/2025,04/06/2025,Lowe's,Home Improvement,Sale,140.93,
04/07/2025,04/07/2025,24 Hour Fitness,Fitness,Sale,139.63,
04/07/2025,04/07/2025,Parking Meter,Transportation,Sale,201.68,
04/08/2025,04/08/2025,Water Utility,Utilities,Sale,160.08,
04/08/2025,04/10/2025,VCA Animal Hospital,Pet Care,Sale,255.75,
04/08/2025,04/08/2025,TJ Maxx,Shopping,Sale,211.29,
04/08/2025,04/08/2025,Metro Transit,Transportation,Sale,27.45,
04/09/2025,04/11/2025,Internet Service,Utilities,Sale,159.41,
04/09/2025,04/09/2025,Target,Groceries,Sale,134.31,
04/10/2025,04/11/2025,Chevron,Gas,Sale,267.66,
04/10/2025,04/12/2025,Microsoft Store,Electronics,Sale,303.53,
04/10/2025,04/11/2025,CVS Pharmacy,Pharmacy,Sale,263.8,
04/12/2025,04/12/2025,76 Gas Station,Gas,Sale,154.87,
04/15/2025,04/17/2025,Office Depot,Office Supplies,Sale,208.23,
04/16/2025,04/16/2025,ACCOUNT ADJUSTMENT,Adjustments,Credit,-121.89,
04/16/2025,04/18/2025,Costco,Groceries,Sale,172.72,
04/17/2025,04/18/2025,Home Depot,Home Improvement,Sale,184.23,
04/17/2025,04/19/2025,Shell Gas Station,Gas,Sale,65,
04/18/2025,04/19/2025,Metro Transit,Transportation,Sale,144.44,
04/18/2025,04/20/2025,Peloton,Fitness,Sale,30.86,
04/18/2025,04/18/2025,PetSmart,Pet Care,Sale,139.81,
04/19/2025,04/19/2025,Office Depot,Office Supplies,Sale,79.35,
04/19/2025,04/19/2025,Peloton,Fitness,Sale,123.02,
04/20/2025,04/21/2025,Ace Hardware,Home Improvement,Sale,60.29,
04/20/2025,04/21/2025,Costco,Groceries,Sale,197.12,
04/20/2025,04/22/2025,76 Gas Station,Gas,Sale,241.73,
04/20/2025,04/22/2025,RETURN - PetSmart,Pet Care,Return,-121.54,
04/21/2025,04/22/2025,Peloton,Fitness,Sale,153.75,
04/21/2025,04/21/2025,Ace Hardware,Home Improvement,Sale,285.34,
04/21/2025,04/21/2025,Apple Store,Electronics,Sale,61.94,
04/22/2025,04/23/2025,Lyft,Transportation,Sale,81.4,
04/22/2025,04/23/2025,Microsoft Store,Electronics,Sale,206.13,
04/23/2025,04/23/2025,Kroger,Groceries,Sale,117.62,
04/24/2025,04/26/2025,Disney+,Entertainment,Sale,150.16,
04/24/2025,04/24/2025,GameStop,Electronics,Sale,222.17,
04/24/2025,04/26/2025,Staples,Office Supplies,Sale,192.67,
04/25/2025,04/26/2025,Kroger,Groceries,Sale,201.43,
04/25/2025,04/26/2025,Nordstrom,Shopping,Sale,13.08,
04/25/2025,04/27/2025,Walgreens,Pharmacy,Sale,104.26,
04/25/2025,04/25/2025,Metro Transit,Transportation,Sale,83.21,
04/25/2025,04/26/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-818.47,
04/26/2025,04/28/2025,Walgreens,Pharmacy,Sale,224.12,
04/26/2025,04/28/2025,VCA Animal Hospital,Pet Care,Sale,276.15,
04/26/2025,04/26/2025,Lowe's,Home Improvement,Sale,75.88,
04/27/2025,04/29/2025,DoorDash,Food Delivery,Sale,34.81,
04/27/2025,04/28/2025,Target,Groceries,Sale,241.63,
04/27/2025,04/28/2025,PROMOTIONAL CREDIT,Adjustments,Credit,-152.44,
04/28/2025,04/28/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1673.26,
04/28/2025,04/28/2025,Mobil,Gas,Sale,121.24,
04/29/2025,04/30/2025,PetSmart,Pet Care,Sale,123.07,
04/30/2025,05/02/2025,LA Fitness,Fitness,Sale,33.21,
04/30/2025,05/01/2025,PetSmart,Pet Care,Sale,222.81,
04/30/2025,05/02/2025,Spotify,Entertainment,Sale,189.98,
04/30/2025,04/30/2025,Staples,Office Supplies,Sale,254.02,
04/30/2025,05/02/2025,Regal Cinemas,Entertainment,Sale,196.49,
05/01/2025,05/01/2025,CVS Pharmacy,Pharmacy,Sale,57.41,
05/02/2025,05/04/2025,Hilton Hotels,Travel,Sale,16.09,
05/04/2025,05/05/2025,Kroger,Groceries,Sale,141.99,
05/05/2025,05/07/2025,CVS Pharmacy,Pharmacy,Sale,177.48,
05/05/2025,05/05/2025,VCA Animal Hospital,Pet Care,Sale,231.3,
05/05/2025,05/07/2025,Peloton,Fitness,Sale,162.42,
05/06/2025,05/07/2025,Uber,Transportation,Sale,59.77,
05/06/2025,05/06/2025,Starbucks,Restaurants,Sale,220.4,
05/07/2025,05/07/2025,IKEA,Home Improvement,Sale,42.38,
05/07/2025,05/08/2025,DoorDash,Food Delivery,Sale,292.27,
05/07/2025,05/07/2025,PetSmart,Pet Care,Sale,292.24,
05/08/2025,05/09/2025,VCA Animal Hospital,Pet Care,Sale,33.18,
05/08/2025,05/08/2025,RETURN - Apple Store,Electronics,Return,-86.15,
05/09/2025,05/11/2025,Ace Hardware,Home Improvement,Sale,124.26,
05/09/2025,05/11/2025,FedEx Office,Office Supplies,Sale,15.1,
05/10/2025,05/10/2025,Water Utility,Utilities,Sale,232.21,
05/10/2025,05/10/2025,Rite Aid,Pharmacy,Sale,250.87,
05/11/2025,05/11/2025,CVS Pharmacy,Pharmacy,Sale,280.85,
05/11/2025,05/11/2025,Airbnb,Travel,Sale,175.23,
05/12/2025,05/13/2025,Dunkin Donuts,Restaurants,Sale,18.41,
05/13/2025,05/13/2025,Petco,Pet Care,Sale,37.55,
05/13/2025,05/13/2025,Ace Hardware,Home Improvement,Sale,255.61,
05/13/2025,05/14/2025,DISPUTE RESOLUTION CREDIT,Adjustments,Credit,-137.61,
05/14/2025,05/15/2025,Mobil,Gas,Sale,255.44,
05/14/2025,05/16/2025,Parking Meter,Transportation,Sale,141.91,
05/14/2025,05/15/2025,Postmates,Food Delivery,Sale,85.83,
05/15/2025,05/15/2025,Chipotle,Restaurants,Sale,115.55,
05/15/2025,05/16/2025,Disney+,Entertainment,Sale,152.27,
05/16/2025,05/17/2025,24 Hour Fitness,Fitness,Sale,16.74,
05/16/2025,05/17/2025,Chevron,Gas,Sale,214.32,
05/17/2025,05/17/2025,Walmart,Shopping,Sale,271.36,
05/17/2025,05/17/2025,Water Utility,Utilities,Sale,113.08,
05/18/2025,05/20/2025,Amazon.com,Shopping,Sale,7.01,
05/18/2025,05/20/2025,ACCOUNT ADJUSTMENT,Adjustments,Credit,-70.4,
05/18/2025,05/20/2025,Nordstrom,Shopping,Sale,209.83,
05/19/2025,05/19/2025,DoorDash,Food Delivery,Sale,149.4,
05/19/2025,05/21/2025,PetSmart,Pet Care,Sale,130.55,
05/19/2025,05/21/2025,Petco,Pet Care,Sale,234.66,
05/19/2025,05/21/2025,RETURN - Hulu,Entertainment,Return,-46.7,
05/20/2025,05/20/2025,Ace Hardware,Home Improvement,Sale,237.4,
05/20/2025,05/21/2025,VCA Animal Hospital,Pet Care,Sale,113.98,
05/20/2025,05/22/2025,PROMOTIONAL CREDIT,Adjustments,Credit,-76.91,
05/20/2025,05/22/2025,Metro Transit,Transportation,Sale,234.65,
05/20/2025,05/22/2025,Walgreens,Pharmacy,Sale,75.09,
05/20/2025,05/22/2025,Planet Fitness,Fitness,Sale,40.5,
05/21/2025,05/22/2025,Regal Cinemas,Entertainment,Sale,256.13,
05/22/2025,05/22/2025,HBO Max,Entertainment,Sale,152.58,
05/22/2025,05/23/2025,Costco,Groceries,Sale,123.44,
05/24/2025,05/24/2025,FedEx Office,Office Supplies,Sale,82.1,
05/25/2025,05/27/2025,Rite Aid,Pharmacy,Sale,6.4,
05/26/2025,05/27/2025,Rite Aid,Pharmacy,Sale,276.17,
05/26/2025,05/27/2025,RETURN - Southwest Airlines,Travel,Return,-41.98,
05/26/2025,05/26/2025,RETURN - AMC Theatres,Entertainment,Return,-58.77,
05/27/2025,05/27/2025,Lyft,Transportation,Sale,265.37,
05/28/2025,05/30/2025,Regal Cinemas,Entertainment,Sale,214.93,
05/28/2025,05/29/2025,HBO Max,Entertainment,Sale,42.29,
05/28/2025,05/29/2025,Disney+,Entertainment,Sale,300.79,
05/29/2025,05/29/2025,RETURN - IKEA,Home Improvement,Return,-28.76,
05/29/2025,05/30/2025,TJ Maxx,Shopping,Sale,39.22,
05/29/2025,05/30/2025,DoorDash,Food Delivery,Sale,30.47,
05/29/2025,05/29/2025,IKEA,Home Improvement,Sale,124.86,
05/30/2025,05/31/2025,Staples,Office Supplies,Sale,126.54,
05/31/2025,06/02/2025,Disney+,Entertainment,Sale,96.83,
05/31/2025,05/31/2025,Lowe's,Home Improvement,Sale,54.35,
05/31/2025,05/31/2025,Hulu,Entertainment,Sale,19.53,
05/31/2025,06/01/2025,GameStop,Electronics,Sale,151.22,
05/31/2025,05/31/2025,Walmart,Shopping,Sale,37.28,
06/01/2025,06/01/2025,Disney+,Entertainment,Sale,263.18,
06/01/2025,06/03/2025,Walgreens,Pharmacy,Sale,85.16,
06/02/2025,06/04/2025,CVS Pharmacy,Pharmacy,Sale,211.52,
06/02/2025,06/04/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-242.28,
06/02/2025,06/04/2025,Macy's,Shopping,Sale,134.34,
06/03/2025,06/04/2025,Staples,Office Supplies,Sale,300.3,
06/03/2025,06/05/2025,Office Depot,Office Supplies,Sale,283.76,
06/04/2025,06/05/2025,RETURN - PetSmart,Pet Care,Return,-63.2,
06/06/2025,06/08/2025,Spotify,Entertainment,Sale,34.69,
06/07/2025,06/07/2025,ACCOUNT ADJUSTMENT,Adjustments,Credit,-12.59,
06/07/2025,06/07/2025,Ace Hardware,Home Improvement,Sale,61.99,
06/07/2025,06/07/2025,Ace Hardware,Home Improvement,Sale,19.9,
06/07/2025,06/07/2025,Airbnb,Travel,Sale,171.87,
06/08/2025,06/08/2025,Walmart,Shopping,Sale,53.19,
06/10/2025,06/11/2025,Walmart,Groceries,Sale,170.72,
06/10/2025,06/12/2025,RETURN - Olive Garden,Restaurants,Return,-49.67,
06/11/2025,06/12/2025,RETURN - Planet Fitness,Fitness,Return,-101.67,
06/11/2025,06/12/2025,RETURN - Office Depot,Office Supplies,Return,-36.34,
06/11/2025,06/12/2025,RETURN - Spotify,Entertainment,Return,-19.86,
06/12/2025,06/12/2025,VCA Animal Hospital,Pet Care,Sale,173.68,
06/13/2025,06/14/2025,FedEx Office,Office Supplies,Sale,141.4,
06/13/2025,06/14/2025,Chevron,Gas,Sale,68.1,
06/13/2025,06/13/2025,Lowe's,Home Improvement,Sale,270.59,
06/13/2025,06/13/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-186.44,
06/14/2025,06/15/2025,24 Hour Fitness,Fitness,Sale,291.96,
06/14/2025,06/16/2025,RETURN - Lowe's,Home Improvement,Return,-151.8,
06/14/2025,06/14/2025,PetSmart,Pet Care,Sale,299.33,
06/15/2025,06/16/2025,LA Fitness,Fitness,Sale,22.29,
06/15/2025,06/16/2025,PetSmart,Pet Care,Sale,41.93,
06/15/2025,06/16/2025,LA Fitness,Fitness,Sale,137.68,
06/16/2025,06/16/2025,Staples,Office Supplies,Sale,258.45,
06/17/2025,06/17/2025,Electric Company,Utilities,Sale,37.35,
06/17/2025,06/19/2025,Parking Meter,Transportation,Sale,250.08,
06/18/2025,06/19/2025,Petco,Pet Care,Sale,220.53,
06/18/2025,06/19/2025,LA Fitness,Fitness,Sale,207.34,
06/18/2025,06/19/2025,Nordstrom,Shopping,Sale,280.24,
06/18/2025,06/18/2025,United Airlines,Travel,Sale,10.72,
06/19/2025,06/19/2025,Planet Fitness,Fitness,Sale,256.93,
06/19/2025,06/21/2025,Best Buy,Electronics,Sale,128.24,
06/19/2025,06/21/2025,Best Buy,Electronics,Sale,94.82,
06/20/2025,06/21/2025,Internet Service,Utilities,Sale,287.15,
06/20/2025,06/20/2025,RETURN - Airbnb,Travel,Return,-144.77,
06/21/2025,06/21/2025,RETURN - Staples,Office Supplies,Return,-48.87,
06/21/2025,06/23/2025,Lyft,Transportation,Sale,277.14,
06/21/2025,06/23/2025,Safeway,Groceries,Sale,295.01,
06/22/2025,06/23/2025,Best Buy,Electronics,Sale,160.18,
06/22/2025,06/24/2025,Kroger,Groceries,Sale,92.87,
06/22/2025,06/24/2025,Lowe's,Home Improvement,Sale,297.95,
06/23/2025,06/23/2025,Microsoft Store,Electronics,Sale,251.18,
06/23/2025,06/25/2025,Office Depot,Office Supplies,Sale,132.3,
